WISE_DESIGNATION,WISE_RA,WISE_Dec,W1_SIG_VAR_PP,W2_SIG_VAR_PP,W1_N_DETECTION,W2_N_DETECTION,W1_MEDIAN_MAG,W1_MAG_SIGMA,W2_MEDIAN_MAG,W2_MAG_SIGMA,PS1_g_med_KrMag,PS1_r_med_KrMag,PS1_i_med_KrMag,PS1_z_med_KrMag,PS1_y_med_KrMag,PS1_g_lc_std,PS1_r_lc_std,PS1_i_lc_std,PS1_z_lc_std,PS1_y_lc_std,PS1_g_max_KrMag,PS1_g_max_KrMagErr,PS1_g_min_KrMag,PS1_g_min_KrMagErr,PS1_r_max_KrMag,PS1_r_max_KrMagErr,PS1_r_min_KrMag,PS1_r_min_KrMagErr,PS1_i_max_KrMag,PS1_i_max_KrMagErr,PS1_i_min_KrMag,PS1_i_min_KrMagErr,PS1_z_max_KrMag,PS1_z_max_KrMagErr,PS1_z_min_KrMag,PS1_z_min_KrMagErr,PS1_y_max_KrMag,PS1_y_max_KrMagErr,PS1_y_min_KrMag,PS1_y_min_KrMagErr,PS1_g_num_detec,PS1_r_num_detec,PS1_i_num_detec,PS1_z_num_detec,PS1_y_num_detec,PS1_g_star_lc_sigma,PS1_r_star_lc_sigma,PS1_i_star_lc_sigma,PS1_z_star_lc_sigma,PS1_y_star_lc_sigma,PS1_g_sigma_PP,PS1_r_sigma_PP,PS1_i_sigma_PP,PS1_z_sigma_PP,PS1_y_sigma_PP,SDSS_RA,SDSS_Dec,SDSS_redshift,SDSS_redshift_ERR,SDSS_wise_sep2d_arcsec
J235251.88+003814.9,358.21617260000005,0.6374864,3.0098345125014827,3.3524747364688428,11.0,11.0,13.764918232913264,0.11617252014366992,12.78019500883423,0.07805442444829833,19.250870505987113,18.340822179578982,18.128138657931604,17.619805348153935,17.68591047389761,0.1297495202485256,0.1051241529404857,0.08408451479983227,0.09904666936816704,0.15174517996815595,19.39882419403257,0.0205791953340037,19.01797892102945,0.0205791953340037,18.594607776819267,0.018318831861893117,18.169509398772814,0.018318831861893117,18.195400502417122,0.020243002682845363,17.879960006621396,0.020243002682845363,17.768651764555162,0.020268027470497347,17.43237064368123,0.020268027470497347,17.82282182118437,0.0205791953340037,17.254229631897395,0.0205791953340037,10.0,16.0,12.0,12.0,12.0,0.062,0.02,0.02,0.0625,0.1,5.56052182089454,12.48625505795595,9.032670350453394,4.890703004581073,5.459412855846669,358.2161560058594,0.6374970078468323,0.2728,0.0,0.0708987833004971
J222805.10+001033.6,337.021276,0.1760142,2.892125261394788,3.3871538227277127,10.0,9.0,14.824056636510631,0.19519266530920004,13.963199564232404,0.2958118136699921,20.85634279739949,19.62627386095734,19.115660008385422,18.703626737618464,18.44223845405584,0.3007527261012043,0.06808394369209399,0.13161999475246308,0.07996758528949192,0.174931236465712,21.384690977548157,0.05193687103821858,20.46703468686988,0.05193687103821858,19.747483126959157,0.04289250195012846,19.511536399526683,0.04289250195012846,19.27485547872721,0.15346956807590115,18.666901153394694,0.15346956807590115,18.895222424307423,0.06644541205529454,18.56808638950981,0.06644541205529454,18.744523144947802,0.06644541205529454,18.25127212963753,0.06644541205529454,9.0,15.0,27.0,12.0,11.0,0.15,0.125,0.05,0.15,0.2,5.494368955079132,1.5951175232663002,2.7296354563948,1.8481971146814988,2.2321567545279053,337.062255859375,0.15476299822330475,0.7604,0.0,166.18390948844794
J215825.88-001804.6,329.6078495,-0.30128540000000004,2.8315080526106096,3.8799547871790754,10.0,12.0,13.500096944293745,0.11245387954806987,12.581548654701367,0.1366172991390043,17.86919308160013,17.65737451811369,17.584539883797625,16.929073500776013,17.26439253539828,0.21968945475553067,0.19826086222954076,0.07021092336643962,0.12090959769802545,0.14945180637889616,18.293112425240594,0.014558254363937732,17.819786536316272,0.014558254363937732,17.875606687440445,0.01360470956208525,17.45402670284436,0.01360470956208525,17.65837106553343,0.01360470956208525,17.3396275289426,0.01360470956208525,17.03511255382808,0.012126646894423174,16.698096047316014,0.012126646894423174,17.36523434570762,0.014558254363937732,16.949829879120585,0.014558254363937732,5.0,8.0,18.0,10.0,7.0,0.025,0.02,0.02,0.025,0.1,14.61491217866362,14.93283981032506,11.485405357948167,11.116476643684416,4.068706333337703,329.60784912109375,-0.30135300755500793,0.3731,0.0,0.2433910203338998
J221446.88+003323.6,333.69537119999995,0.5565578,3.766631631611481,3.7307913960933448,10.0,11.0,13.82254047467055,0.057308219047261875,12.621241304118607,0.0632765079424846,18.339768765534608,18.20452261684511,18.091803863954638,18.05058161059469,18.020287118023298,0.033692157452638566,0.0529651910423767,0.10420003423735183,0.04082871716434512,0.11508075167384753,18.391962056115588,0.1181108518146919,18.288744337139953,0.1181108518146919,18.313276643504093,0.038876602355668415,18.131741374740912,0.038876602355668415,18.349298151635708,0.04254910458484421,17.931805803654807,0.04254910458484421,18.12960849685153,0.012695552647785208,18.035904155931533,0.012695552647785208,18.26403467182591,0.038876602355668415,17.899907675544775,0.038876602355668415,10.0,11.0,30.0,5.0,7.0,0.025,0.02,0.02,0.15,0.2,0.6111373012253484,3.1029265322955912,6.583994258611152,0.620268163248796,1.7555113497414756,333.6954345703125,0.5565789937973022,0.8939,0.0,0.24054343966551714
J222414.98+011159.0,336.0624277,1.1997376,2.749674645328948,4.165365276661331,10.0,12.0,13.567219971053591,0.05809543638296481,12.411722171313233,0.06042495084617094,21.126093330304613,19.984475038043172,19.37838345740557,18.993977772234302,18.63903932901616,0.25007508152745994,0.16812543459293314,0.0919876826080118,0.15397701946034706,0.08560696035059136,21.46580679081346,0.10189537870593623,20.90824724360732,0.10189537870593623,20.218514758224828,0.06879134228860041,19.70384062278532,0.06879134228860041,19.597151750498266,0.06058972678247467,19.2404560611138,0.06058972678247467,19.350658253928614,0.10189537870593623,18.810475436951943,0.10189537870593623,18.763141900306326,0.06687903921909095,18.523477316382955,0.06687903921909095,4.0,15.0,20.0,10.0,6.0,0.15,0.125,0.05,0.15,0.2,2.6805333463380085,3.2662055005002237,3.5954322243330537,2.596992664335894,1.083295604482704,336.07199813822916,1.1898606660766204,1.755,0.0,49.505862726154156
J232424.21+000854.5,351.1009102,0.1484965,3.130473547342754,3.673388962557578,10.0,11.0,13.273930292683348,0.132138430909477,12.361019137080994,0.11091582177434224,18.795467646398727,18.143398968158763,17.647208019609657,17.54003159682523,17.34987856990321,0.058304851413071734,0.0596057647709245,0.07445225988255448,0.08075303908772358,0.14794861978286528,18.85467442789763,0.053232055028794766,18.676712415183534,0.053232055028794766,18.203093178317584,0.0227174387825169,18.003625850693,0.0227174387825169,17.81035718836393,0.018445628697274456,17.53111395607509,0.018445628697274456,17.6037941184643,0.020576697300659298,17.341912971700634,0.020576697300659298,17.555574977827252,0.04854998486739113,17.055105103234492,0.04854998486739113,10.0,9.0,17.0,12.0,9.0,0.062,0.02,0.02,0.0625,0.1,1.8247664690625327,3.4864755352765084,8.495203771966938,3.7985513301987277,4.1258134066105185,351.1007385253906,0.1699479967355728,0.5854,0.0,77.22786120599487
J215956.49+005340.6,329.9853758,0.8946305,2.8949134299745745,3.0774913838949027,10.0,13.0,14.437361457947285,0.13338197756173487,13.258967053385014,0.08782688928437976,18.507998483987826,18.501474443421248,18.480563432413724,18.354777756339054,18.619434563111575,0.26661590453068257,0.1478592505695691,0.0848550607886988,0.10197663031386593,0.17405243317219762,18.761095519482968,0.02052326017583177,17.872458310255052,0.02052326017583177,18.776073122069143,0.018318152099194646,18.309097819016365,0.018318152099194646,18.71923736356092,0.018318152099194646,18.385683465034326,0.018318152099194646,18.53902372800927,0.018318152099194646,18.24799758792488,0.018318152099194646,18.861799769515343,0.03466291139670378,18.322913706239127,0.03466291139670378,12.0,16.0,32.0,13.0,5.0,0.062,0.05,0.02,0.15,0.2,12.980888723439744,7.349548471899532,10.191758098693407,1.9118709989486853,2.6169684180737947,329.9853515625,0.8946679830551147,0.7038,0.0,0.16068637835940655
J220546.33+005319.3,331.443069,0.8886953000000002,2.954275396284652,2.9435211813183204,10.0,9.0,11.749401626971837,0.09448369095691814,10.723012904945447,0.05889555538552463,19.378132732186426,18.088887335654206,17.570027600373134,17.092997894175927,17.0694279132538,0.080430498982034,0.13079366663931638,0.054772739287443986,0.0514746145068096,0.07920419600377855,19.534498799523718,0.017166999298371108,19.270941553862556,0.017166999298371108,18.401379974111677,0.01522414704192676,18.025301288153226,0.01522414704192676,17.695591100803387,0.015832348103693862,17.447667599514705,0.015832348103693862,17.138216999995723,0.04794909748660224,16.990423357684186,0.04794909748660224,17.15548430441087,0.017166999298371108,16.852951212460187,0.017166999298371108,7.0,10.0,28.0,9.0,13.0,0.062,0.02,0.02,0.0625,0.1,3.95827467054542,12.355507111445643,8.25803327095254,1.6026246623384457,2.9399298562151794,331.4858881216968,0.8389594631780994,3.172,0.0,236.25200722568428
J222426.25+004251.5,336.10941210000004,0.7143063000000001,3.2659491642093608,2.972034752752633,10.0,11.0,14.48465499122167,0.08730447608924319,13.20688813738323,0.07985695383800724,18.915998386039387,18.705064007205152,18.63787666163416,18.610108748680325,18.590169995269445,0.059407745705585276,0.15334442155480962,0.09507972624200076,0.06092172053207271,0.12438794511586145,18.99164269805048,0.024560829219650263,18.780275364995283,0.024560829219650263,18.750003455098373,0.06103419633125344,18.330874486283786,0.06103419633125344,18.895979387999066,0.015364991864149956,18.487832107004014,0.015364991864149956,18.716785830501987,0.024560829219650263,18.531272983207238,0.024560829219650263,18.765163329276746,0.025276626859778856,18.420827616519414,0.025276626859778856,9.0,9.0,20.0,7.0,10.0,0.062,0.05,0.05,0.15,0.2,2.974212724165926,5.058904480662415,7.486526745244057,1.2048710185418283,1.6948205212079068,336.109375,0.7143250107765198,0.9797,0.0,0.14957509302414634
J234926.46+003826.1,357.3602812,0.6406056,3.265141522624233,2.9081221714117254,11.0,9.0,14.274943000454245,0.17242156794612798,13.375367380519721,0.13794684622993375,18.92297848263899,18.715342301526846,18.042059679984696,18.096607727065663,18.005911278960227,0.3795711633987395,0.15039629516685687,0.13809762384050014,0.1341010791840744,0.17777239560942526,19.88535351849891,0.02533349622069469,18.84042902201159,0.02533349622069469,18.828826068765032,0.08615167828595947,18.22792930298821,0.08615167828595947,18.411981124062727,0.02533349622069469,17.904173196237892,0.02533349622069469,18.323635065494962,0.02756008785118182,17.91466349988655,0.02756008785118182,18.42316951466641,0.02452224903293437,17.806051684925077,0.02452224903293437,10.0,20.0,27.0,8.0,14.0,0.062,0.05,0.02,0.15,0.2,14.592477230442213,5.8576139612002525,12.376094637667697,2.6388493432672,3.040222397716964,357.4069046765927,0.7009446693097203,2.695195,0.0,274.50451435925083
J225240.37+010958.7,343.16822110000004,1.1663218000000002,3.305028035124196,3.490815162743931,10.0,10.0,14.964127781089006,0.2469858216569835,14.033608927753038,0.2685704452066339,19.74086546205268,20.14847928706435,19.88355289418478,19.26618663781321,19.08451700326017,0.6464612366519067,0.4275559193501418,0.2284101540614035,0.19173651892450524,0.23886103586924035,21.025513211707448,0.04034104569916164,19.31735540082142,0.04034104569916164,20.607041481315772,0.04034104569916164,19.318494680971085,0.04034104569916164,20.12531090410089,0.02727682502982313,19.246522500966503,0.02727682502982313,19.631619723005493,0.1537923504456776,18.969737153662514,0.1537923504456776,19.42836670260646,0.09161431595964084,18.67128984977263,0.09161431595964084,13.0,11.0,16.0,8.0,9.0,0.15,0.125,0.125,0.2,0.2,10.64385380664558,8.04625718441663,6.717699964581372,2.240079542883251,3.177005234148732,343.1682434082031,1.1663060188293457,0.5336,0.0,0.09835942443872013
J233731.10-001544.8,354.3795905,-0.26246840000000005,3.546611667190239,3.7971490329720288,11.0,12.0,13.386592307667904,0.0458380929483596,12.369693040403547,0.0771689172122853,20.710785134704125,19.20326752900293,18.647453543755415,18.09713410307087,18.055286739995086,0.12867571932543426,0.06632848390041092,0.16404638767299953,0.038410600400286335,0.09805899945381548,20.95734252357795,0.08549418676596125,20.47817208114759,0.08549418676596125,19.3126152961025,0.0427181482288494,19.10421106086697,0.0427181482288494,18.869088190386247,0.05254880670093723,18.3592685239052,0.05254880670093723,18.16236390148953,0.06764744709237305,18.04355842341135,0.06764744709237305,18.203590385158893,0.06764744709237305,17.923960579400827,0.06764744709237305,10.0,10.0,12.0,6.0,6.0,0.15,0.05,0.05,0.15,0.2,2.4871085595419,2.2089542352003013,5.691868291072546,0.667780076891881,1.2612793901224322,354.461181640625,-0.253713995218277,1.8082,0.0,295.41106763261797
J232637.22-011434.9,351.6551169,-1.2430529,3.161424636235433,3.2645351132856795,10.0,11.0,12.457132782720173,0.08753362024483656,11.276868077648231,0.06831080667863144,18.75823260389269,17.974691539848735,17.656690903066348,17.456684218156163,17.397437143959845,0.09372612186505257,0.0827208083671134,0.11687769641085692,0.0514539805114454,0.07561374901231695,18.930385417741498,0.044693961645692164,18.601588037596134,0.044693961645692164,18.057080918171533,0.02072177612345663,17.744701620888378,0.02072177612345663,17.901815408824895,0.047863154327820234,17.555678859346756,0.047863154327820234,17.488284555894538,0.047863154327820234,17.359302301568366,0.047863154327820234,17.505880133962947,0.018034602098146276,17.262958921277043,0.018034602098146276,8.0,12.0,7.0,5.0,7.0,0.062,0.02,0.02,0.0625,0.1,3.7136009535981334,9.193040114535558,4.9040616929560485,1.3999964776165783,2.353859679228372,351.55754767324134,-1.216196526367705,2.207,0.0,364.234521213844
J233056.19-001234.9,352.7341289,-0.2097055,3.2782555315423094,3.7463504371622656,10.0,9.0,13.684529343294551,0.0247976622488566,11.646579903188947,0.04695927874324194,0.0,0.0,20.958164327183816,20.65986980670106,0.0,0.0,0.0,0.17303074594815235,0.0019823263666101103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.219457979618475,0.18232411690756872,20.595869294893244,0.18232411690756872,20.661852133067672,0.19181938040122168,20.65788748033445,0.19181938040122168,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.2,0.3,0.0,,,1.9109780856817988,0.009802292113091016,,352.6732559469108,-0.2048457304934405,2.937,0.0,219.8384525742907
J232753.69-010437.6,351.9737485,-1.0771313999999999,2.6374754804804836,3.5407591735879147,10.0,11.0,15.258788983273961,0.13155893747909986,13.991697535684953,0.1482597645376041,20.146119563044213,19.647062591291707,19.573795297855,19.064557408746808,19.241139326815738,0.10567098491465413,0.12144520452973084,0.1313813883572753,0.08149452200752252,0.1182033717112128,20.2777397598052,0.08716274962798855,19.935502452305546,0.08716274962798855,19.819302324030133,0.053899477304064886,19.312099502258263,0.053899477304064886,19.702091441813646,0.053899477304064886,19.15150905509852,0.053899477304064886,19.229891504920584,0.08716274962798855,19.01534956392585,0.08716274962798855,19.51583744646277,0.08716274962798855,19.14682427927391,0.08716274962798855,9.0,11.0,17.0,8.0,6.0,0.15,0.125,0.125,0.2,0.2,1.7627359563934497,3.1378540871354064,3.760602730131859,0.9131950669996682,1.5706998937939811,351.93771844478147,-1.0604741001086535,2.741,0.0,142.87868158524697
J234019.83-005908.3,355.0826276,-0.9856431999999999,3.0449234370388485,2.4575345005307856,11.0,9.0,14.411316380601273,0.1122453518375716,13.40954476915362,0.08056741363286397,19.103089903472807,18.930058314494765,18.867997226500894,18.351913929339002,18.534710917061304,0.10186552583071344,0.10252883887556803,0.07907085050901515,0.07020328440033632,0.19136586860004812,19.325388660166464,0.023705635937575097,18.978982976502813,0.023705635937575097,19.156460117167626,0.023705635937575097,18.80977578035882,0.023705635937575097,19.082964862786355,0.02311015348595528,18.800552853122927,0.02311015348595528,18.4366263102936,0.03600948895241371,18.243462967097575,0.03600948895241371,18.8538001173941,0.036291407736212686,18.3034485256346,0.036291407736212686,11.0,11.0,18.0,6.0,9.0,0.062,0.05,0.05,0.15,0.2,4.914710707461098,5.2389660633498085,4.727821803724911,1.2193973524848611,2.6653945867208946,355.0826110839844,-0.9856500029563904,0.3127,0.0,0.06429586611507206
J223854.80-002826.7,339.7283401,-0.4740903,3.119386903466067,3.1279029420180207,10.0,12.0,13.856608714530301,0.13044648886165466,13.092619813988854,0.28440540071047143,18.519592693554987,17.51950474594976,17.06488262038234,17.019193099336547,16.898969621342196,0.16815787179357047,0.043676316056607316,0.03727749564719611,0.100331887561609,0.14777087462552124,18.91731365560758,0.011980963228546866,18.30212055641537,0.011980963228546866,17.630566004586655,0.04915922072763136,17.469508983006467,0.04915922072763136,17.116361826004553,0.035626008175584416,16.976623118022086,0.035626008175584416,17.215554563902167,0.016375117161509238,16.85030317149603,0.016375117161509238,17.154050479296792,0.017215771249310653,16.691651427646214,0.017215771249310653,9.0,18.0,20.0,11.0,10.0,0.062,0.02,0.012,0.0625,0.0,9.571484198426713,2.886617782093712,2.698068280038396,5.479945753693968,18.99220780186902,339.73452464749266,-0.4233113528827038,0.901,0.0,184.15496419465825
