093931.84+544909.2 0.292 0 51935 18.535 0.020 55867 20.255 0.058 52266 55867 20.255 0.058     0 N/A      0 -1.0
094014.01+303902.9 0.349 0 53081 18.668 0.025 55238 20.311 0.036 53415 55972 19.767 0.038 58183 MMT      0  2.6
094132.89+000731.1 0.489 0 51258 19.326 0.022 55632 21.403 0.142 51630 55973 20.649 0.051 57430 MMT      0  1.0
094307.46+523403.0 0.349 1 51962 19.680 0.023 56331 20.963 0.066 52281 56331 20.963 0.066 57430 MMT      0 -1.0
094422.93+112958.3 0.609 0 52667 19.010 0.028 56309 20.462 0.051 53053 56309 20.348 0.046     0 N/A      0 -1.0
094427.34+474008.3 0.511 0 52234 19.079 0.018 55969 20.713 0.087 52703 56331 20.167 0.045     0 N/A      0 -1.0
094443.08+580953.2 0.562 0 51638 17.933 0.022 55856 16.832 0.002 51915 56303 16.877 0.005     0 N/A      0 -1.0
094508.26+091616.3 0.633 0 55590 19.104 0.016 56333 20.449 0.070 52757 56333 20.449 0.070     0 N/A      0 -1.0
094522.76+334522.1 0.379 0 52755 18.830 0.025 55972 20.015 0.040 53387 56331 19.906 0.033 58183 MMT      0  1.9
094820.87+024501.6 0.348 1 55239 19.407 0.022 56028 20.833 0.079 51908 56028 20.833 0.079     0 N/A      0 -1.0
094838.89+052127.0 0.612 0 52338 19.025 0.024 56333 20.216 0.041 52725 56333 20.197 0.040     0 N/A      0 -1.0
095301.89+443016.7 0.350 1 52313 18.946 0.027 55972 20.964 0.089 52709 56338 20.807 0.074 57430 MMT      0  0.9
095547.89+085126.6 0.287 1 52615 19.083 0.020 56333 20.574 0.050 52734 56333 20.574 0.050     0 N/A      0 -1.0
095548.33+421507.8 0.364 0 52621 18.920 0.023 56335 20.641 0.075 52672 56338 20.370 0.054     0 N/A      0 -1.0
095753.44+215215.3 0.493 0 53359 19.728 0.021 55596 20.916 0.050 53737 55958 20.752 0.075     0 N/A      0 -1.0
