ra,dec,ks_flux_aper2,ks_fluxerr_aper2,splash_1_flux,splash_1_flux_err,splash_2_flux,splash_2_flux_err,splash_3_flux,splash_3_flux_err,splash_4_flux,splash_4_flux_err,photoz,type,dist,angle
149.919757,2.567328,33.951,0.215,60.320,0.273,42.806,0.296,26.779,4.643,11.265,4.002,0.908,0,189.208717,306.589145
150.011109,2.555197,18.190,0.215,91.808,4.141,79.232,3.475,132.631,11.762,40.137,7.187,null,0,189.657150,68.628999
150.004043,2.567860,33.444,0.214,78.686,0.245,77.153,0.236,56.843,3.779,41.184,3.909,1.227,0,189.786368,52.816865
150.013780,2.546252,3.216,0.212,63.804,5.204,50.047,3.986,57.484,10.964,22.217,6.406,null,0,189.847931,78.789350
149.925680,2.574278,685.823,0.224,512.461,9.517,323.090,3.339,220.731,10.130,143.236,8.616,null,1,189.873333,316.532616
149.996940,2.496181,131.408,0.218,101.747,0.856,85.560,0.424,33.767,5.348,28.117,3.685,0.340,0,190.630027,138.760049
149.945217,2.485664,94.918,0.228,178.429,0.652,112.790,0.530,81.074,5.476,34.987,4.684,0.730,0,190.998862,198.423326
149.992709,2.492624,67.409,0.217,51.764,0.200,43.513,0.176,18.536,3.998,13.375,2.420,0.380,0,191.263666,144.727548
150.004939,2.503607,169.817,0.232,210.684,0.517,183.501,0.484,103.487,6.561,130.431,5.279,0.340,0,193.513883,127.056991
149.951219,2.483060,66.999,0.227,117.362,0.527,78.786,0.376,58.662,6.431,34.142,6.677,0.720,0,194.487106,191.499910
149.908177,2.530630,39.905,0.203,60.036,0.367,40.490,0.228,32.533,4.996,23.475,4.617,0.700,0,194.535683,264.298492
150.014920,2.547534,10.805,0.213,61.900,2.952,58.280,3.190,112.893,11.843,44.283,5.939,null,0,194.802924,77.691739
149.913209,2.512200,99.421,0.220,180.547,0.610,112.072,0.532,83.790,6.342,42.986,6.609,0.718,0,195.276569,243.976006
150.013057,2.554919,368.548,0.223,204.640,4.430,135.442,3.449,213.156,12.907,85.505,8.928,null,0,195.848146,69.647889
149.923418,2.497457,86.206,0.227,158.129,1.247,107.889,0.550,79.850,5.152,39.160,5.038,0.749,0,196.232551,225.002062
149.910655,2.554647,95.617,0.216,169.043,1.230,153.158,1.063,139.276,3.888,161.589,8.803,null,2,196.482730,289.978830
149.909272,2.521301,44.689,0.204,56.429,0.447,35.760,0.227,30.227,3.532,10.322,5.146,0.712,0,196.881029,254.409485
149.910121,2.553854,44.703,0.215,66.981,0.579,42.804,0.319,27.167,4.257,19.712,4.858,null,0,197.340571,289.009560
149.992547,2.581776,37.855,0.214,50.127,0.363,32.228,0.161,22.462,3.746,2.975,2.061,0.671,0,198.056276,33.688873
149.920643,2.499640,42.860,0.225,54.647,0.384,37.895,0.267,31.893,3.757,39.839,4.152,0.691,0,198.136348,228.652820
149.986591,2.585614,681.807,0.218,366.792,6.276,239.419,2.712,158.806,7.183,87.677,6.659,null,0,199.307285,26.341306
149.915056,2.506351,48.449,0.227,84.207,0.351,57.543,0.255,47.055,3.912,38.868,5.010,0.704,0,199.743214,237.700517
149.987756,2.585249,102.111,0.214,177.051,1.856,111.945,0.935,87.218,6.047,56.424,6.401,null,2,200.034670,27.584239
149.937738,2.586228,52.258,0.218,88.727,0.306,64.968,0.268,43.782,6.618,152.843,8.305,0.080,0,200.771696,334.240545
149.909328,2.556518,55.139,0.216,72.113,0.452,45.839,0.233,33.650,5.449,13.883,4.861,0.696,0,203.324544,291.302880
149.910066,2.558442,36.473,0.215,56.065,0.335,38.871,0.158,25.460,4.647,7.734,5.279,0.688,0,203.503001,293.391554
149.906453,2.552623,88.056,0.220,54.786,0.746,40.425,0.408,18.859,5.403,11.794,4.493,null,1,208.541803,286.676875
149.948527,2.479648,198.844,0.229,235.120,0.713,212.580,1.093,125.909,8.177,464.948,15.839,0.250,0,208.572890,193.434305
150.011347,2.566652,1416.909,0.220,716.542,4.411,465.294,4.427,288.729,11.739,171.265,10.317,null,0,208.980964,58.126321
149.982168,2.481230,57.881,0.217,95.827,0.340,68.848,0.266,54.516,5.436,37.415,3.915,0.850,0,210.090016,159.802057
149.989043,2.587762,84.009,0.214,115.130,0.477,74.352,0.449,59.254,4.917,26.683,3.970,0.670,0,210.196092,27.560639
149.937586,2.589270,76.584,0.219,73.329,0.251,75.793,0.498,61.149,5.412,294.853,12.154,0.243,0,210.916408,335.399678
150.010558,2.568973,22.309,0.215,81.808,0.359,57.978,0.360,41.781,4.114,27.782,3.829,0.788,0,211.158155,55.793683
149.903561,2.544478,28.937,0.202,50.644,0.254,36.454,0.186,38.452,2.987,36.827,4.555,0.724,0,212.377524,278.263867
149.909090,2.509779,44.843,0.226,56.976,0.354,37.821,0.205,28.788,4.480,8.773,6.126,0.712,0,212.416241,243.616949
150.018265,2.554665,78.379,0.218,65.262,0.450,57.768,0.489,53.545,8.897,30.018,5.009,null,0,213.217731,71.629741
149.964100,2.595403,42.440,0.215,56.149,0.329,37.172,0.208,26.185,3.429,12.029,3.084,0.689,0,213.985942,2.022842
149.913043,2.501910,48.825,0.226,70.725,0.352,44.477,0.208,29.258,4.811,17.904,5.214,0.691,0,214.624209,235.125176
149.971580,2.594982,73.746,0.215,52.112,0.329,41.714,0.195,23.864,3.331,12.557,4.040,0.242,0,215.110563,9.215961
149.983267,2.479718,37.662,0.215,65.654,0.191,45.883,0.203,39.648,6.482,26.746,4.021,0.702,0,216.571006,159.317905
